"Name product" "link on product" "link on image"
"Радиаторы отопления" https://deltaks.ru/Radiatori_otopleniya_catalog https://deltaks.ru//Images/00001radiator.jpg
"Котельное оборудование" https://deltaks.ru/Kotelnoe_oborudovanie_catalog https://deltaks.ru//Images/00002boiler.jpg
"Полипропиленовые трубы" https://deltaks.ru/Polipropilenovie_trubi_catalog https://deltaks.ru//Images/00003pipenfitting.jpg
"Канализационные трубы" https://deltaks.ru/Kanalizacionnie_trubi_catalog https://deltaks.ru//Images/00022pipessewedge.jpg
"Полиэтиленовые трубы" https://deltaks.ru/Polietilenovye_truby_catalog https://deltaks.ru//Images/00025pipessoft.jpg
"Расширительные баки, фильтры,  картриджи" https://deltaks.ru/Racshiritelnye_baki_filtry_kartridzhi_items https://deltaks.ru//Images/00004tank.jpg
"Насосы, насосные станции" https://deltaks.ru/Nacocy_nacocnye_ctancii_items https://deltaks.ru//Images/00026pumpsstations.jpg
"Теплый пол" https://deltaks.ru/Teplie_poli_subcatalog https://deltaks.ru//Images/06022021.jpg
"Металлопластиковые трубы" https://deltaks.ru/Metalloplactikovye_trubi_catalog https://deltaks.ru//Images/00005warmfloor.jpg
"Сшитый полиэтилен" https://deltaks.ru/Sshitiy_polietilen_items https://deltaks.ru//Images/00052.jpg
"Коллекторы, коллекторные группы" https://deltaks.ru/Kollektory_kollektornye_gruppy_items https://deltaks.ru//Images/00053.jpg
"Фитинги GEBO" https://deltaks.ru/Fitingi_GEBO_items https://deltaks.ru//Images/00054.jpg
"Запорная арматура" https://deltaks.ru/Zapornaya_armatura_items https://deltaks.ru//Images/00007valve.jpg
"Резьбовые фитинги" https://deltaks.ru/Rezbovye_fitingi_items https://deltaks.ru//Images/00008threaded.jpg
"Термометры, манометры" https://deltaks.ru/Termometry_manometry_items https://deltaks.ru//Images/00055.jpg
"Трехходовые клапаны" https://deltaks.ru/Trehhodovye_klapany_items https://deltaks.ru//Images/00056.jpg
"Предохранительная, регулировочная  арматура" https://deltaks.ru/Predohranitelnaya_regulirovochnaya_armatura_items https://deltaks.ru//Images/00057.jpg
"Термостаты, регуляторы" https://deltaks.ru/Termoctaty_regulyatory_items https://deltaks.ru//Images/00058.jpg
"Смесительные модули, насосные группы" https://deltaks.ru/Cmecitelnye_moduli_nacocnye_gruppy_items https://deltaks.ru//Images/00059.jpg
Гидрострелки https://deltaks.ru/Gidroctrelki_items https://deltaks.ru//Images/00060.jpg
Полотенцесушители https://deltaks.ru/Polotencecushiteli_catalog https://deltaks.ru//Images/00061.jpg
Инструменты https://deltaks.ru/Inctrumenty_items https://deltaks.ru//Images/00062.jpg
"Расходные материалы" https://deltaks.ru/Rachodnye_materialy_items https://deltaks.ru//Images/00063.jpg
"Подводка PEX для воды" https://deltaks.ru/Podvodka_PEX_dlya_vody_catalog https://deltaks.ru//Images/00064.jpg
"Комплектующие для газа" https://deltaks.ru/Komplektuuschie_dlya_gaza_catalog https://deltaks.ru//Images/00065.jpg
Кондиционеры https://deltaks.ru/Kondicionery_items https://deltaks.ru//Images/00066.jpg
"Воздушное отопление" https://deltaks.ru/Vozdushnoe_otoplenie_items https://deltaks.ru//Images/00067.jpg
Теплоносители https://deltaks.ru/Teplonociteli_items https://deltaks.ru//Images/01008056.jpg
Трапы https://deltaks.ru/Trapy_items https://deltaks.ru//Images/trap.jpg
"Трубная изоляция" https://deltaks.ru/Izolyaciya_dlya_trub_teplogo_pola_catalog https://deltaks.ru//Images/2019-05-02_115818.jpg
