iter	Accuracy	Logloss
0	0.8435193631	0.598822177
1	0.8485225419	0.5301957679
2	0.84893717	0.4805115013
3	0.8497111424	0.4427091839
4	0.8498493518	0.4136320044
5	0.8500428449	0.3927033637
6	0.8505127567	0.3779631372
7	0.8519501341	0.3664389579
8	0.8519224922	0.3578439469
9	0.8538297814	0.3517424286
10	0.852613539	0.34584664
11	0.8530834508	0.3409030894
12	0.8537744976	0.3369649418
13	0.8536362882	0.3331063055
14	0.853691572	0.3307028244
15	0.8544931863	0.3281245657
16	0.8547419631	0.3257961856
17	0.8552948006	0.3237911302
18	0.8559029217	0.3216242278
19	0.8555435774	0.3203961913
20	0.8559582055	0.319256185
21	0.8568151035	0.3168779305
22	0.8573402991	0.316059266
23	0.8574508666	0.3148238145
24	0.8575890759	0.3134454623
25	0.8585288996	0.3119621683
26	0.8586394671	0.3110762192
27	0.8587776764	0.3104905793
28	0.8593857976	0.3090504192
29	0.8602150538	0.3081877685
30	0.8604085469	0.3075994882
31	0.8601044863	0.3070889552
32	0.8604085469	0.3062877443
33	0.8610719518	0.304515443
34	0.861458938	0.3040781941
35	0.8615142217	0.3034871901
36	0.8621223429	0.3027904598
37	0.8621776267	0.3022816462
38	0.8625922547	0.3018572078
39	0.8630898084	0.3012295575
40	0.8631450922	0.3007066259
41	0.863393869	0.3003193906
42	0.8636426459	0.2999415406
43	0.8636702878	0.2992314505
44	0.8639190646	0.2989164247
45	0.8643060508	0.2986268733
46	0.8646653951	0.2982147841
47	0.865135307	0.297458734
48	0.8651629488	0.2971785414
49	0.8651629488	0.2968138929
50	0.8656328607	0.2961099083
51	0.8658539956	0.2957993944
52	0.8661027725	0.2952941625
53	0.865992205	0.2948789971
54	0.865992205	0.294321617
55	0.8663239075	0.2934816466
56	0.8663791912	0.2932425139
57	0.8664068331	0.2932105026
58	0.8667385355	0.2928747393
59	0.8668214611	0.2925773153
60	0.866849103	0.2923073272
61	0.8669873124	0.2919963924
62	0.8671808055	0.291664617
63	0.8671255217	0.2915146491
64	0.867291373	0.29138193
65	0.8674572242	0.2911906303
66	0.8674572242	0.290933646
67	0.8674572242	0.2908600024
68	0.8678165685	0.2906011661
69	0.8677612848	0.2904925307
70	0.8678165685	0.2903731133
71	0.8678994942	0.2901364051
72	0.8680100616	0.2900143754
73	0.8678718523	0.2898546503
74	0.8686734666	0.289092891
75	0.8691433784	0.2889700286
76	0.8690328109	0.2887322316
77	0.8693921552	0.2880693198
78	0.869447439	0.287897575
79	0.8693645134	0.2877855845
80	0.8695027227	0.2876289664
81	0.8696409321	0.2874239508
82	0.8695856483	0.287266408
83	0.8697514996	0.2870312553
84	0.8700555602	0.2869333364
85	0.8701384858	0.2868357046
86	0.8703319789	0.2864425413
87	0.8704149045	0.2862874028
88	0.8705531139	0.2861950901
89	0.8704701882	0.2861180038
90	0.8706913232	0.2859632034
91	0.8707189651	0.2856986981
92	0.8706913232	0.285505134
93	0.8706360395	0.2853535128
94	0.8707189651	0.2851426969
95	0.8709953838	0.2850062147
96	0.8709677419	0.2848946481
97	0.8709953838	0.2846404917
98	0.8709401001	0.2846018262
99	0.8712718025	0.284485114
100	0.8710506676	0.2843751999
101	0.8711888769	0.2843047617
102	0.8711335932	0.284152051
103	0.8714376538	0.2840799218
104	0.8714376538	0.2839819758
105	0.8717417143	0.2836248025
106	0.8716311469	0.2835601664
107	0.8717693562	0.2833078057
108	0.8719904912	0.2827767242
109	0.8719628493	0.282642219
110	0.8721287006	0.282270978
111	0.8721563424	0.2820970753
112	0.8722945518	0.281732129
113	0.8723498355	0.2816250087
114	0.8725433286	0.2809511825
115	0.8728197474	0.2808098869
116	0.8728750311	0.2807734119
117	0.8729579567	0.2805425623
118	0.8732343754	0.2804295094
119	0.8732343754	0.28026097
120	0.8732343754	0.2800549246
121	0.873538436	0.2799159475
122	0.8735660779	0.2797798297
123	0.8736490035	0.2794269914
124	0.8737319291	0.2792936811
125	0.8737042873	0.2791497897
126	0.873759571	0.2790199694
127	0.8737319291	0.2788841368
128	0.8738424966	0.2787411399
129	0.8741741991	0.2786828902
130	0.8744506178	0.2785786384
131	0.8743953341	0.2784149097
132	0.8742847666	0.278330916
133	0.8743400503	0.2781519085
134	0.8746441109	0.2775503227
135	0.874616469	0.2775208799
136	0.8748099621	0.2772393522
137	0.8749481715	0.2767136667
138	0.8749481715	0.2767135883
139	0.8750863808	0.2762535575
140	0.875058739	0.2761745683
141	0.875058739	0.2760371884
142	0.8751969483	0.2758984426
143	0.8752245902	0.2757524989
144	0.8754733671	0.2752116304
145	0.8755562927	0.2751505725
146	0.8754733671	0.2749762735
147	0.8755839345	0.2748001408
148	0.8755562927	0.2746563685
149	0.8755286508	0.2745837085
150	0.875694502	0.2744693087
151	0.8758050695	0.2743176187
152	0.8759985626	0.274213713
153	0.8760814882	0.2741052103
154	0.8760262045	0.2740788242
155	0.8759985626	0.2740211397
156	0.876136772	0.2739785676
157	0.8761644139	0.2738741871
158	0.8762749813	0.2736451643
159	0.8763302651	0.2735360323
160	0.8762196976	0.2733611668
161	0.8763855488	0.2732621073
162	0.8763855488	0.2731781321
163	0.8764961163	0.2728011024
164	0.8764961163	0.2727075467
165	0.8766619675	0.2726012679
166	0.8766896094	0.2724178411
167	0.8768278188	0.2723794544
168	0.8767172513	0.2722687541
169	0.8767448932	0.2722539388
170	0.876772535	0.272229364
171	0.876772535	0.2722012189
172	0.8769660281	0.2721469318
173	0.8768554607	0.2720921923
174	0.8769107444	0.2719972981
175	0.8769660281	0.2718875994
176	0.877214805	0.2717661243
177	0.8772700887	0.2715632828
178	0.8771871631	0.2714885915
179	0.8771871631	0.2714478409
180	0.8771871631	0.27135891
181	0.877214805	0.2712165822
182	0.877214805	0.271171264
183	0.8772424469	0.2710960531
184	0.8775188656	0.2709563482
185	0.8775741493	0.270895541
186	0.8775741493	0.270854886
187	0.8776847168	0.2708092186
188	0.8776294331	0.2706677736
189	0.8775741493	0.2705775063
190	0.8777676424	0.2705482437
191	0.8777676424	0.2705412522
192	0.8777676424	0.27047412
193	0.8776570749	0.2703804761
194	0.8781269868	0.2702631976
195	0.8781546286	0.2702049015
196	0.8782375542	0.2700912034
197	0.8784310474	0.2698680975
198	0.8784586892	0.2697613901
199	0.8785416148	0.2696543674
