iter	Passed	Remaining
0	131	26219
1	160	15937
2	217	14303
3	347	17037
4	429	16757
5	496	16066
6	584	16123
7	641	15389
8	697	14795
9	759	14429
10	844	14516
11	942	14761
12	1021	14691
13	1110	14753
14	1192	14703
15	1272	14630
16	1348	14519
17	1442	14582
18	1529	14574
19	1609	14488
20	1694	14440
21	1783	14432
22	1896	14598
23	1987	14578
24	2105	14741
25	2226	14898
26	2328	14917
27	2404	14771
28	2511	14807
29	2600	14736
30	2688	14659
31	2781	14601
32	3149	15939
33	3278	16007
34	3384	15953
35	3496	15927
36	3603	15876
37	3693	15746
38	3806	15712
39	3904	15618
40	4020	15591
41	4124	15516
42	4236	15468
43	4345	15407
44	4511	15540
45	4650	15568
46	4757	15486
47	4893	15496
48	5046	15551
49	5164	15493
50	5289	15454
51	5332	15176
52	5435	15077
53	5607	15162
54	5811	15322
55	6174	15876
56	6429	16131
57	6561	16063
58	6643	15877
59	6748	15745
60	6835	15576
61	6925	15415
62	6997	15216
63	7091	15069
64	7172	14895
65	7308	14838
66	7431	14752
67	7562	14680
68	7615	14459
69	7722	14341
70	7828	14224
71	7909	14060
72	8005	13927
73	8092	13779
74	8175	13625
75	8257	13472
76	8335	13315
77	8419	13169
78	8512	13038
79	8590	12885
80	8691	12769
81	8782	12638
82	8894	12537
83	8938	12343
84	9064	12264
85	9152	12133
86	9194	11942
87	9349	11898
88	9491	11837
89	9635	11776
90	9766	11698
91	9883	11601
92	10003	11509
93	10116	11408
94	10197	11271
95	10275	11132
96	10349	10990
97	10420	10846
98	10495	10707
99	10594	10594
100	10703	10491
101	10782	10359
102	10880	10246
103	10951	10109
104	11022	9972
105	11088	9833
106	11157	9697
107	11233	9569
108	11333	9462
109	11422	9345
110	11568	9275
111	11684	9180
112	11766	9059
113	11861	8947
114	11940	8825
115	12028	8710
116	12122	8599
117	12215	8488
118	12289	8365
119	12378	8252
120	12457	8133
121	12550	8023
122	12630	7906
123	12742	7809
124	12852	7711
125	12928	7592
126	13007	7477
127	13097	7367
128	13181	7254
129	13264	7142
130	13387	7051
131	13530	6970
132	13678	6890
133	13938	6865
134	14019	6749
135	14097	6634
136	14175	6518
137	14255	6404
138	14352	6298
139	14422	6180
140	14501	6068
141	14584	5957
142	14666	5846
143	14742	5733
144	14817	5620
145	14922	5519
146	15026	5417
147	15112	5309
148	15185	5197
149	15262	5087
150	15343	4979
151	15430	4872
152	15526	4769
153	15625	4667
154	15709	4560
155	15787	4452
156	15867	4345
157	15974	4246
158	16105	4152
159	16243	4060
160	16486	3993
161	16562	3884
162	16649	3779
163	16726	3671
164	16797	3563
165	16880	3457
166	16968	3353
167	17052	3248
168	17140	3144
169	17208	3036
170	17312	2936
171	17399	2832
172	17493	2730
173	17696	2644
174	17787	2541
175	17875	2437
176	17956	2333
177	18029	2228
178	18119	2125
179	18214	2023
180	18287	1919
181	18353	1815
182	18424	1711
183	18483	1607
184	18554	1504
185	18609	1400
186	18679	1298
187	18754	1197
188	18825	1095
189	18898	994
190	18955	893
191	19028	792
192	19087	692
193	19143	592
194	19204	492
195	19274	393
196	19334	294
197	19400	195
198	19460	97
199	19518	0
